original_name,renamed
CHOL_10_sn_1.jpg,cho_10.jpg
CHOL_10A_sn_1.jpg,cho_10a.jpg
CHOL_12_sn_1.jpg,cho_12.jpg
CHOL_1_sn_1.jpg,cho_1.jpg
CHOL_1A_sn_1.jpg,cho_1a.jpg
CHOL_2_sn_1.jpg,cho_2.jpg
CHOL_2A_sn_1.jpg,cho_2a.jpg
CHOL_3_sn_1.jpg,cho_3.jpg
CHOL_3A_sn_1.jpg,cho_3a.jpg
CHOL_4_sn_1.jpg,cho_4.jpg
CHOL_4A_sn_1.jpg,cho_4a.jpg
CHOL_5_sn_1.jpg,cho_5.jpg
CHOL_5A_sn_1.jpg,cho_5a.jpg
CHOL_6_sn_1.jpg,cho_6.jpg
CHOL_6A_sn_1.jpg,cho_6a.jpg
CHOL_7_sn_1.jpg,cho_7.jpg
CHOL_7A_sn_1.jpg,cho_7a.jpg
CHOL_8_sn_1.jpg,cho_8.jpg
CHOL_8A_sn_1.jpg,cho_8a.jpg
CHOL_9_sn_1.jpg,cho_9.jpg
CHOL_9A_sn_1.jpg,cho_9a.jpg
COLON_MA_10_sn_1.jpg,metastatic_10.jpg
COLON_MA_10a_sn_1.jpg,metastatic_10a.jpg
COLON_MA_11_sn_1.jpg,metastatic_11.jpg
COLON_MA_11a_sn_1.jpg,metastatic_11a.jpg
COLON_MA_12_sn_1.jpg,metastatic_12.jpg
COLON_MA_12a_sn_1.jpg,metastatic_12a.jpg
COLON_MA_13_sn_1.jpg,metastatic_13.jpg
COLON_MA_13a_sn_1.jpg,metastatic_13a.jpg
COLON_MA_14_sn_1.jpg,metastatic_14.jpg
COLON_MA_14a_sn_1.jpg,metastatic_14a.jpg
COLON_MA_15_sn_1.jpg,metastatic_15.jpg
COLON_MA_15a_sn_1.jpg,metastatic_15a.jpg
COLON_MA_16_sn_1.jpg,metastatic_16.jpg
COLON_MA_16a_sn_1.jpg,metastatic_16a.jpg
COLON_MA_17_sn_1.jpg,metastatic_17.jpg
COLON_MA_17a_sn_1.jpg,metastatic_17a.jpg
COLON_MA_18_sn_1.jpg,metastatic_18.jpg
COLON_MA_18a_sn_1.jpg,metastatic_18a.jpg
COLON_MA_19_sn_1.jpg,metastatic_19.jpg
COLON_MA_19a_sn_1.jpg,metastatic_19a.jpg
COLON_MA_1_sn_1.jpg,metastatic_1.jpg
COLON_MA_1a_sn_1.jpg,metastatic_1a.jpg
COLON_MA_20_sn_1.jpg,metastatic_20.jpg
COLON_MA_20a_sn_1.jpg,metastatic_20a.jpg
COLON_MA_2_sn_1.jpg,metastatic_2.jpg
COLON_MA_2a_sn_1.jpg,metastatic_2a.jpg
COLON_MA_3_sn_1.jpg,metastatic_3.jpg
COLON_MA_3a_sn_1.jpg,metastatic_3a.jpg
COLON_MA_4_sn_1.jpg,metastatic_4.jpg
COLON_MA_4a_sn_1.jpg,metastatic_4a.jpg
COLON_MA_5_sn_1.jpg,metastatic_5.jpg
COLON_MA_5a_sn_1.jpg,metastatic_5a.jpg
COLON_MA_6_sn_1.jpg,metastatic_6.jpg
COLON_MA_6a_sn_1.jpg,metastatic_6a.jpg
COLON_MA_7_sn_1.jpg,metastatic_7.jpg
COLON_MA_7a_sn_1.jpg,metastatic_7a.jpg
COLON_MA_8_sn_1.jpg,metastatic_8.jpg
COLON_MA_8a_sn_1.jpg,metastatic_8a.jpg
COLON_MA_9_sn_1.jpg,metastatic_9.jpg
COLON_MA_9a_sn_1.jpg,metastatic_9a.jpg
COLON_MA_intra_16_patient_2_sn_1.jpg,metastatic_intra_2.jpg
COLON_MA_intra_1_patient_1_sn_1.jpg,metastatic_intra_1.jpg
COLON_MA_intra_27_patient_3_sn_1.jpg,metastatic_intra_3.jpg
COLON_MA_intra_34_patient_4_sn_1.jpg,metastatic_intra_4.jpg
COLON_MA_intra_39_patient_5_sn_1.jpg,metastatic_intra_5.jpg
COLON_MA_intra_44_patient_6_sn_1.jpg,metastatic_intra_6.jpg
COLON_MA_intra_47_patient_7_sn_1.jpg,metastatic_intra_7.jpg
COLON_MA_intra_52_patient_8_sn_1.jpg,metastatic_intra_8.jpg
COLON_MA_intra_54_patient_9_sn_1.jpg,metastatic_intra_9.jpg
COLON_MA_intra_55_patient_10_sn_1.jpg,metastatic_intra_10.jpg
COLON_MA_intra_58_patient_11_sn_1.jpg,metastatic_intra_11.jpg
COLON_MA_intra_60_patient_12_sn_1.jpg,metastatic_intra_12.jpg
COLON_MA_intra_64_patient_13_sn_1.jpg,metastatic_intra_13.jpg
COLON_MA_intra_71_patient_14_sn_1.jpg,metastatic_intra_14.jpg
COLON_MA_intra_72_patient_15_sn_1.jpg,metastatic_intra_15.jpg
COLON_MA_intra_73_patient_16_sn_1.jpg,metastatic_intra_16.jpg
COLON_MA_intra_74_patient_17_sn_1.jpg,metastatic_intra_17.jpg
COLON_MA_intra_76_patient_18_sn_1.jpg,metastatic_intra_18.jpg
COLON_MA_intra_81_patient_19_sn_1.jpg,metastatic_intra_19.jpg
HCC_10_sn_1.jpg,hcc_10.jpg
HCC_10A_sn_1.jpg,hcc_10a.jpg
HCC_11_sn_1.jpg,hcc_11.jpg
HCC_11A_sn_1.jpg,hcc_11a.jpg
HCC_1_sn_1.jpg,hcc_1.jpg
HCC_1A_sn_1.jpg,hcc_1a.jpg
HCC_2_sn_1.jpg,hcc_2.jpg
HCC_2A_sn_1.jpg,hcc_2a.jpg
HCC_3_sn_1.jpg,hcc_3.jpg
HCC_3A_sn_1.jpg,hcc_3a.jpg
HCC_4_sn_1.jpg,hcc_4.jpg
HCC_4A_sn_1.jpg,hcc_4a.jpg
HCC_5_sn_1.jpg,hcc_5.jpg
HCC_5A_sn_1.jpg,hcc_5a.jpg
HCC_6_sn_1.jpg,hcc_6.jpg
HCC_6A_sn_1.jpg,hcc_6a.jpg
HCC_7_sn_1.jpg,hcc_7.jpg
HCC_7A_sn_1.jpg,hcc_7a.jpg
HCC_8_sn_1.jpg,hcc_8.jpg
HCC_8A_sn_1.jpg,hcc_8a.jpg
HCC_9_sn_1.jpg,hcc_9.jpg
HCC_9A_sn_1.jpg,hcc_9a.jpg
